No,Nama Dokumen,Nomor Dokumen,Tanggal Dokumen,Jenis Dokumen,Isi Dokumen
782,SK pengangkatan guru,SMKT-AD/KPG/782/2025,12 December 2025,Kepegawaian,Dokumen 'SK pengangkatan guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
783,Agenda kegiatan sekolah,SMKT-AD/ADM/783/2025,04 April 2025,Administrasi,Dokumen 'Agenda kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
784,Laporan supervisi kelas,SMKT-AD/EVL/784/2025,24 April 2025,Evaluasi,Dokumen 'Laporan supervisi kelas' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
785,Rencana anggaran tahunan,SMKT-AD/KUG/785/2025,02 January 2025,Keuangan,Dokumen 'Rencana anggaran tahunan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
786,Laporan pemeliharaan sarana,SMKT-AD/SRP/786/2025,16 August 2025,Sarana dan Prasarana,Dokumen 'Laporan pemeliharaan sarana' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
787,Surat perintah tugas,SMKT-AD/KPG/787/2025,20 December 2025,Kepegawaian,Dokumen 'Surat perintah tugas' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
788,Laporan kegiatan ekstrakurikuler,SMKT-AD/SW/788/2025,20 July 2025,Siswa,Dokumen 'Laporan kegiatan ekstrakurikuler' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
789,Rencana pengadaan barang,SMKT-AD/KUG/789/2025,15 April 2025,Keuangan,Dokumen 'Rencana pengadaan barang' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
790,Surat pernyataan kerja sama,SMKT-AD/ADM/790/2025,14 June 2025,Administrasi,Dokumen 'Surat pernyataan kerja sama' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
791,Rencana anggaran tahunan,SMKT-AD/KUG/791/2025,01 May 2025,Keuangan,Dokumen 'Rencana anggaran tahunan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
792,Surat pernyataan kerja sama,SMKT-AD/ADM/792/2025,03 February 2025,Administrasi,Dokumen 'Surat pernyataan kerja sama' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
793,Jadwal pemakaian lab,SMKT-AD/SRP/793/2025,15 June 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
794,Bukti penerimaan sumbangan,SMKT-AD/KUG/794/2025,22 November 2025,Keuangan,Dokumen 'Bukti penerimaan sumbangan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
795,Program semester,SMKT-AD/KUR/795/2025,12 March 2025,Kurikulum,Dokumen 'Program semester' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
796,Surat peringatan kedisiplinan siswa,SMKT-AD/SW/796/2025,08 August 2025,Siswa,Dokumen 'Surat peringatan kedisiplinan siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
797,Foto dokumentasi perbaikan,SMKT-AD/SRP/797/2025,13 March 2025,Sarana dan Prasarana,Dokumen 'Foto dokumentasi perbaikan' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
798,Laporan hasil ujian,SMKT-AD/EVL/798/2025,27 February 2025,Evaluasi,Dokumen 'Laporan hasil ujian' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
799,Kalender akademik,SMKT-AD/AKD/799/2025,23 March 2025,Akademik,Dokumen 'Kalender akademik' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
800,Daftar fasilitas olahraga,SMKT-AD/SRP/800/2025,21 October 2025,Sarana dan Prasarana,Dokumen 'Daftar fasilitas olahraga' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
801,Bahan ajar kejuruan,SMKT-AD/KUR/801/2025,18 February 2025,Kurikulum,Dokumen 'Bahan ajar kejuruan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
802,SK pengangkatan guru,SMKT-AD/KPG/802/2025,25 October 2025,Kepegawaian,Dokumen 'SK pengangkatan guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
803,Analisis hasil belajar siswa,SMKT-AD/EVL/803/2025,17 February 2025,Evaluasi,Dokumen 'Analisis hasil belajar siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
804,Rekap barang masuk dan keluar,SMKT-AD/SRP/804/2025,10 March 2025,Sarana dan Prasarana,Dokumen 'Rekap barang masuk dan keluar' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
805,Laporan audit internal,SMKT-AD/KUG/805/2025,28 November 2025,Keuangan,Dokumen 'Laporan audit internal' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
806,Daftar materi ajar,SMKT-AD/KUR/806/2025,21 May 2025,Kurikulum,Dokumen 'Daftar materi ajar' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
807,Daftar materi ajar,SMKT-AD/KUR/807/2025,24 November 2025,Kurikulum,Dokumen 'Daftar materi ajar' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
808,Rencana kegiatan belajar,SMKT-AD/AKD/808/2025,11 August 2025,Akademik,Dokumen 'Rencana kegiatan belajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
809,Form evaluasi kegiatan sekolah,SMKT-AD/EVL/809/2025,13 March 2025,Evaluasi,Dokumen 'Form evaluasi kegiatan sekolah' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
810,Daftar nilai ujian akhir,SMKT-AD/SW/810/2025,19 June 2025,Siswa,Dokumen 'Daftar nilai ujian akhir' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
811,Silabus pembelajaran,SMKT-AD/KUR/811/2025,09 June 2025,Kurikulum,Dokumen 'Silabus pembelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
812,Daftar inventaris,SMKT-AD/SRP/812/2025,05 March 2025,Sarana dan Prasarana,Dokumen 'Daftar inventaris' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
813,Laporan hasil ujian,SMKT-AD/EVL/813/2025,01 January 2025,Evaluasi,Dokumen 'Laporan hasil ujian' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
814,Proposal kegiatan sekolah,SMKT-AD/ADM/814/2025,13 March 2025,Administrasi,Dokumen 'Proposal kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
815,Surat edaran sekolah,SMKT-AD/ADM/815/2025,13 August 2025,Administrasi,Dokumen 'Surat edaran sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
816,Kartu ujian siswa,SMKT-AD/SW/816/2025,16 December 2025,Siswa,Dokumen 'Kartu ujian siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
817,Surat edaran sekolah,SMKT-AD/ADM/817/2025,02 February 2025,Administrasi,Dokumen 'Surat edaran sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
818,Rencana anggaran tahunan,SMKT-AD/KUG/818/2025,10 July 2025,Keuangan,Dokumen 'Rencana anggaran tahunan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
819,Surat tugas panitia,SMKT-AD/ADM/819/2025,26 June 2025,Administrasi,Dokumen 'Surat tugas panitia' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
820,Daftar inventaris,SMKT-AD/SRP/820/2025,29 April 2025,Sarana dan Prasarana,Dokumen 'Daftar inventaris' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
821,Rencana anggaran tahunan,SMKT-AD/KUG/821/2025,01 September 2025,Keuangan,Dokumen 'Rencana anggaran tahunan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
822,Rekap penilaian akhir,SMKT-AD/EVL/822/2025,09 December 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
823,Jadwal ujian akhir semester,SMKT-AD/AKD/823/2025,18 January 2025,Akademik,Dokumen 'Jadwal ujian akhir semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
824,Foto dokumentasi perbaikan,SMKT-AD/SRP/824/2025,02 November 2025,Sarana dan Prasarana,Dokumen 'Foto dokumentasi perbaikan' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
825,Laporan pengadaan alat,SMKT-AD/SRP/825/2025,04 July 2025,Sarana dan Prasarana,Dokumen 'Laporan pengadaan alat' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
826,Rekap nilai siswa per kelas,SMKT-AD/AKD/826/2025,03 December 2025,Akademik,Dokumen 'Rekap nilai siswa per kelas' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
827,Program semester,SMKT-AD/KUR/827/2025,28 April 2025,Kurikulum,Dokumen 'Program semester' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
828,SK pengangkatan guru,SMKT-AD/KPG/828/2025,08 September 2025,Kepegawaian,Dokumen 'SK pengangkatan guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
829,Bahan ajar kejuruan,SMKT-AD/KUR/829/2025,06 August 2025,Kurikulum,Dokumen 'Bahan ajar kejuruan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
830,Formulir cuti pegawai,SMKT-AD/KPG/830/2025,27 April 2025,Kepegawaian,Dokumen 'Formulir cuti pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
831,Berita acara serah terima barang,SMKT-AD/SRP/831/2025,18 April 2025,Sarana dan Prasarana,Dokumen 'Berita acara serah terima barang' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
832,Formulir pendaftaran siswa baru,SMKT-AD/SW/832/2025,12 March 2025,Siswa,Dokumen 'Formulir pendaftaran siswa baru' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
833,Formulir mutasi siswa,SMKT-AD/SW/833/2025,10 March 2025,Siswa,Dokumen 'Formulir mutasi siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
834,Laporan hasil ujian,SMKT-AD/EVL/834/2025,12 April 2025,Evaluasi,Dokumen 'Laporan hasil ujian' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
835,Laporan pengadaan alat,SMKT-AD/SRP/835/2025,13 March 2025,Sarana dan Prasarana,Dokumen 'Laporan pengadaan alat' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
836,Rekap dana BOS,SMKT-AD/KUG/836/2025,07 October 2025,Keuangan,Dokumen 'Rekap dana BOS' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
837,Laporan hasil ujian,SMKT-AD/EVL/837/2025,28 July 2025,Evaluasi,Dokumen 'Laporan hasil ujian' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
838,Laporan kegiatan ekstrakurikuler,SMKT-AD/SW/838/2025,06 November 2025,Siswa,Dokumen 'Laporan kegiatan ekstrakurikuler' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
839,Panduan penilaian,SMKT-AD/KUR/839/2025,21 February 2025,Kurikulum,Dokumen 'Panduan penilaian' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
840,Laporan audit internal,SMKT-AD/KUG/840/2025,16 November 2025,Keuangan,Dokumen 'Laporan audit internal' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
841,Notulen rapat guru,SMKT-AD/KPG/841/2025,29 December 2025,Kepegawaian,Dokumen 'Notulen rapat guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
842,Kwitansi pembayaran kegiatan,SMKT-AD/KUG/842/2025,26 May 2025,Keuangan,Dokumen 'Kwitansi pembayaran kegiatan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
843,Rencana kegiatan belajar,SMKT-AD/AKD/843/2025,19 September 2025,Akademik,Dokumen 'Rencana kegiatan belajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
844,Bukti pengeluaran kas,SMKT-AD/KUG/844/2025,03 April 2025,Keuangan,Dokumen 'Bukti pengeluaran kas' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
845,Surat perintah tugas,SMKT-AD/KPG/845/2025,18 November 2025,Kepegawaian,Dokumen 'Surat perintah tugas' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
846,Laporan praktik kerja lapangan,SMKT-AD/AKD/846/2025,28 August 2025,Akademik,Dokumen 'Laporan praktik kerja lapangan' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
847,Panduan penilaian,SMKT-AD/KUR/847/2025,08 September 2025,Kurikulum,Dokumen 'Panduan penilaian' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
848,Jadwal pemakaian lab,SMKT-AD/SRP/848/2025,01 September 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
849,Laporan hasil ujian,SMKT-AD/EVL/849/2025,20 June 2025,Evaluasi,Dokumen 'Laporan hasil ujian' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
850,Laporan realisasi anggaran,SMKT-AD/KUG/850/2025,09 August 2025,Keuangan,Dokumen 'Laporan realisasi anggaran' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
851,RPP mata pelajaran,SMKT-AD/KUR/851/2025,18 July 2025,Kurikulum,Dokumen 'RPP mata pelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
852,Laporan absensi pegawai,SMKT-AD/KPG/852/2025,30 July 2025,Kepegawaian,Dokumen 'Laporan absensi pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
853,Form administrasi perizinan,SMKT-AD/ADM/853/2025,01 January 2025,Administrasi,Dokumen 'Form administrasi perizinan' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
854,Rencana perbaikan gedung,SMKT-AD/SRP/854/2025,13 February 2025,Sarana dan Prasarana,Dokumen 'Rencana perbaikan gedung' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
855,Bahan ajar kejuruan,SMKT-AD/KUR/855/2025,19 May 2025,Kurikulum,Dokumen 'Bahan ajar kejuruan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
856,Berita acara serah terima barang,SMKT-AD/SRP/856/2025,07 June 2025,Sarana dan Prasarana,Dokumen 'Berita acara serah terima barang' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
857,Notulen rapat,SMKT-AD/ADM/857/2025,25 August 2025,Administrasi,Dokumen 'Notulen rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
858,Laporan kerusakan fasilitas,SMKT-AD/SRP/858/2025,06 May 2025,Sarana dan Prasarana,Dokumen 'Laporan kerusakan fasilitas' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
859,SK pengangkatan guru,SMKT-AD/KPG/859/2025,01 February 2025,Kepegawaian,Dokumen 'SK pengangkatan guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
860,Laporan keuangan semester,SMKT-AD/KUG/860/2025,19 February 2025,Keuangan,Dokumen 'Laporan keuangan semester' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
861,Agenda kegiatan sekolah,SMKT-AD/ADM/861/2025,08 July 2025,Administrasi,Dokumen 'Agenda kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
862,Surat peringatan kedisiplinan siswa,SMKT-AD/SW/862/2025,17 September 2025,Siswa,Dokumen 'Surat peringatan kedisiplinan siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
863,Dokumen standar kompetensi lulusan,SMKT-AD/KUR/863/2025,26 March 2025,Kurikulum,Dokumen 'Dokumen standar kompetensi lulusan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
864,Bahan ajar kejuruan,SMKT-AD/KUR/864/2025,18 September 2025,Kurikulum,Dokumen 'Bahan ajar kejuruan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
865,Laporan realisasi anggaran,SMKT-AD/KUG/865/2025,04 December 2025,Keuangan,Dokumen 'Laporan realisasi anggaran' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
866,Agenda kegiatan sekolah,SMKT-AD/ADM/866/2025,16 February 2025,Administrasi,Dokumen 'Agenda kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
867,Laporan pemeliharaan sarana,SMKT-AD/SRP/867/2025,29 October 2025,Sarana dan Prasarana,Dokumen 'Laporan pemeliharaan sarana' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
868,Surat tugas panitia,SMKT-AD/ADM/868/2025,24 November 2025,Administrasi,Dokumen 'Surat tugas panitia' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
869,Laporan kinerja tahunan,SMKT-AD/KPG/869/2025,22 February 2025,Kepegawaian,Dokumen 'Laporan kinerja tahunan' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
870,Form penilaian sikap siswa,SMKT-AD/EVL/870/2025,22 February 2025,Evaluasi,Dokumen 'Form penilaian sikap siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
871,Proposal kegiatan sekolah,SMKT-AD/ADM/871/2025,14 January 2025,Administrasi,Dokumen 'Proposal kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
872,Rekap penilaian akhir,SMKT-AD/EVL/872/2025,03 July 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
873,Surat edaran sekolah,SMKT-AD/ADM/873/2025,31 March 2025,Administrasi,Dokumen 'Surat edaran sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
874,Bukti pengeluaran kas,SMKT-AD/KUG/874/2025,17 October 2025,Keuangan,Dokumen 'Bukti pengeluaran kas' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
875,Laporan hasil wawancara siswa,SMKT-AD/EVL/875/2025,02 March 2025,Evaluasi,Dokumen 'Laporan hasil wawancara siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
876,Bahan ajar kejuruan,SMKT-AD/KUR/876/2025,04 May 2025,Kurikulum,Dokumen 'Bahan ajar kejuruan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
877,Surat perintah tugas,SMKT-AD/KPG/877/2025,21 May 2025,Kepegawaian,Dokumen 'Surat perintah tugas' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
878,Program semester,SMKT-AD/KUR/878/2025,29 April 2025,Kurikulum,Dokumen 'Program semester' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
879,Daftar guru pengajar,SMKT-AD/AKD/879/2025,16 February 2025,Akademik,Dokumen 'Daftar guru pengajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
880,Rencana pengadaan barang,SMKT-AD/KUG/880/2025,25 March 2025,Keuangan,Dokumen 'Rencana pengadaan barang' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
881,Jadwal pemakaian lab,SMKT-AD/SRP/881/2025,17 February 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
882,Rencana kegiatan belajar,SMKT-AD/AKD/882/2025,25 June 2025,Akademik,Dokumen 'Rencana kegiatan belajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
883,Laporan kerusakan fasilitas,SMKT-AD/SRP/883/2025,18 November 2025,Sarana dan Prasarana,Dokumen 'Laporan kerusakan fasilitas' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
884,Form penilaian sikap siswa,SMKT-AD/EVL/884/2025,01 August 2025,Evaluasi,Dokumen 'Form penilaian sikap siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
885,Jadwal remedial,SMKT-AD/AKD/885/2025,29 August 2025,Akademik,Dokumen 'Jadwal remedial' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
886,Laporan realisasi anggaran,SMKT-AD/KUG/886/2025,03 August 2025,Keuangan,Dokumen 'Laporan realisasi anggaran' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
887,Laporan praktik kerja lapangan,SMKT-AD/AKD/887/2025,01 January 2025,Akademik,Dokumen 'Laporan praktik kerja lapangan' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
888,Berita acara serah terima barang,SMKT-AD/SRP/888/2025,08 March 2025,Sarana dan Prasarana,Dokumen 'Berita acara serah terima barang' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
889,Rekap dana BOS,SMKT-AD/KUG/889/2025,26 June 2025,Keuangan,Dokumen 'Rekap dana BOS' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
890,Bukti penerimaan sumbangan,SMKT-AD/KUG/890/2025,07 June 2025,Keuangan,Dokumen 'Bukti penerimaan sumbangan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
891,Modul pembelajaran,SMKT-AD/KUR/891/2025,30 July 2025,Kurikulum,Dokumen 'Modul pembelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
892,Bukti penerimaan sumbangan,SMKT-AD/KUG/892/2025,16 June 2025,Keuangan,Dokumen 'Bukti penerimaan sumbangan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
893,Bahan ajar kejuruan,SMKT-AD/KUR/893/2025,14 September 2025,Kurikulum,Dokumen 'Bahan ajar kejuruan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
894,Kalender akademik,SMKT-AD/AKD/894/2025,04 August 2025,Akademik,Dokumen 'Kalender akademik' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
895,Laporan hasil ujian,SMKT-AD/EVL/895/2025,18 January 2025,Evaluasi,Dokumen 'Laporan hasil ujian' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
896,Jadwal remedial,SMKT-AD/AKD/896/2025,05 April 2025,Akademik,Dokumen 'Jadwal remedial' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
897,Rencana kegiatan belajar,SMKT-AD/AKD/897/2025,09 March 2025,Akademik,Dokumen 'Rencana kegiatan belajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
898,Laporan hasil konseling,SMKT-AD/SW/898/2025,02 July 2025,Siswa,Dokumen 'Laporan hasil konseling' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
899,Laporan hasil konseling,SMKT-AD/SW/899/2025,14 April 2025,Siswa,Dokumen 'Laporan hasil konseling' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
900,Rencana pengembangan kurikulum,SMKT-AD/KUR/900/2025,30 July 2025,Kurikulum,Dokumen 'Rencana pengembangan kurikulum' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
901,Kartu ujian siswa,SMKT-AD/SW/901/2025,09 July 2025,Siswa,Dokumen 'Kartu ujian siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
